waterbody,start,until,dur_hr
Alley Creek,2018-01-12 08:00:00,2018-01-14 15:00:00,55.0
Alley Creek,2018-01-23 06:00:00,2018-01-24 08:00:00,26.0
Alley Creek,2018-01-30 10:00:00,2018-01-30 20:00:00,10.0
Alley Creek,2018-02-01 22:00:00,2018-02-02 19:00:00,21.0
Alley Creek,2018-02-04 13:00:00,2018-02-06 13:00:00,48.0
Alley Creek,2018-02-07 12:00:00,2018-02-09 09:00:00,45.0
Alley Creek,2018-02-10 13:00:00,2018-02-13 21:00:00,80.0
Alley Creek,2018-02-18 09:00:00,2018-02-20 00:00:00,39.0
Alley Creek,2018-02-22 08:00:00,2018-02-23 05:00:00,21.0
Alley Creek,2018-02-25 03:00:00,2018-02-27 00:00:00,45.0
Alley Creek,2018-03-01 21:00:00,2018-03-05 04:00:00,79.0
Alley Creek,2018-03-07 02:00:00,2018-03-09 08:00:00,54.0
Alley Creek,2018-03-21 15:00:00,2018-03-23 09:00:00,42.0
Alley Creek,2018-04-02 13:00:00,2018-04-05 09:00:00,68.0
Alley Creek,2018-04-15 18:00:00,2018-04-19 13:00:00,91.0
Alley Creek,2018-04-25 00:00:00,2018-04-26 15:00:00,39.0
Alley Creek,2018-05-10 21:00:00,2018-05-11 12:00:00,15.0
Alley Creek,2018-05-12 05:00:00,2018-05-12 23:00:00,18.0
Alley Creek,2018-05-13 12:00:00,2018-05-13 23:00:00,11.0
Alley Creek,2018-05-15 17:00:00,2018-05-18 19:00:00,74.0
Alley Creek,2018-05-19 04:00:00,2018-05-21 07:00:00,51.0
Alley Creek,2018-05-22 14:00:00,2018-05-23 17:00:00,27.0
Alley Creek,2018-05-27 05:00:00,2018-05-28 14:00:00,33.0
Alley Creek,2018-06-03 22:00:00,2018-06-05 13:00:00,39.0
Alley Creek,2018-06-18 20:00:00,2018-06-19 13:00:00,17.0
Alley Creek,2018-06-21 00:00:00,2018-06-22 21:00:00,45.0
Alley Creek,2018-06-22 23:00:00,2018-06-23 09:00:00,10.0
Alley Creek,2018-06-27 21:00:00,2018-06-30 19:00:00,70.0
Alley Creek,2018-07-12 04:00:00,2018-07-12 18:00:00,14.0
Alley Creek,2018-07-15 00:00:00,2018-07-16 05:00:00,29.0
Alley Creek,2018-08-03 09:00:00,2018-08-04 07:00:00,22.0
Alley Creek,2018-08-04 09:00:00,2018-08-05 22:00:00,37.0
Alley Creek,2018-08-09 02:00:00,2018-08-10 05:00:00,27.0
Alley Creek,2018-08-11 02:00:00,2018-08-14 11:00:00,81.0
Alley Creek,2018-08-14 15:00:00,2018-08-15 22:00:00,31.0
Alley Creek,2018-08-17 22:00:00,2018-08-19 10:00:00,36.0
Alley Creek,2018-08-21 23:00:00,2018-08-22 21:00:00,22.0
Alley Creek,2018-09-06 18:00:00,2018-09-07 06:00:00,12.0
Alley Creek,2018-09-09 04:00:00,2018-09-13 21:00:00,113.0
Alley Creek,2018-09-18 09:00:00,2018-09-20 23:00:00,62.0
Alley Creek,2018-09-25 05:00:00,2018-09-27 16:00:00,59.0
Alley Creek,2018-09-28 03:00:00,2018-09-29 17:00:00,38.0
Alley Creek,2018-10-02 22:00:00,2018-10-04 02:00:00,28.0
Alley Creek,2018-10-11 11:00:00,2018-10-14 00:00:00,61.0
Alley Creek,2018-10-27 01:00:00,2018-10-29 22:00:00,69.0
Alley Creek,2018-11-02 19:00:00,2018-11-04 01:00:00,30.0
Alley Creek,2018-11-05 08:00:00,2018-11-08 00:00:00,64.0
Alley Creek,2018-11-09 15:00:00,2018-11-11 13:00:00,46.0
Alley Creek,2018-11-12 22:00:00,2018-11-15 02:00:00,52.0
Alley Creek,2018-11-15 14:00:00,2018-11-18 11:00:00,69.0
Alley Creek,2018-11-24 19:00:00,2018-11-28 19:00:00,96.0
Alley Creek,2018-12-01 19:00:00,2018-12-04 15:00:00,68.0
Alley Creek,2018-12-15 22:00:00,2018-12-18 23:00:00,73.0
Alley Creek,2018-12-20 16:00:00,2018-12-23 17:00:00,73.0
Alley Creek,2018-12-28 03:00:00,2018-12-30 06:00:00,51.0
Alley Creek,2018-12-31 14:00:00,2019-01-02 22:00:00,56.0
Alley Creek,2019-01-05 01:00:00,2019-01-07 02:00:00,49.0
Alley Creek,2019-01-08 23:00:00,2019-01-09 11:00:00,12.0
Alley Creek,2019-01-19 20:00:00,2019-01-22 08:00:00,60.0
Alley Creek,2019-01-24 05:00:00,2019-01-26 12:00:00,55.0
Alley Creek,2019-01-29 16:00:00,2019-01-30 13:00:00,21.0
Alley Creek,2019-02-06 18:00:00,2019-02-09 05:00:00,59.0
Alley Creek,2019-02-12 10:00:00,2019-02-15 09:00:00,71.0
Alley Creek,2019-02-17 21:00:00,2019-02-18 22:00:00,25.0
Alley Creek,2019-02-20 13:00:00,2019-02-22 17:00:00,52.0
Alley Creek,2019-02-24 00:00:00,2019-02-26 06:00:00,54.0
Alley Creek,2019-02-27 09:00:00,2019-02-27 23:00:00,14.0
Alley Creek,2019-03-02 01:00:00,2019-03-03 04:00:00,27.0
Alley Creek,2019-03-03 17:00:00,2019-03-06 03:00:00,58.0
Alley Creek,2019-03-10 04:00:00,2019-03-11 20:00:00,40.0
Alley Creek,2019-03-15 21:00:00,2019-03-16 14:00:00,17.0
Alley Creek,2019-03-21 08:00:00,2019-03-24 16:00:00,80.0
Alley Creek,2019-04-08 02:00:00,2019-04-08 20:00:00,18.0
Alley Creek,2019-04-12 19:00:00,2019-04-14 12:00:00,41.0
Alley Creek,2019-04-14 23:00:00,2019-04-16 17:00:00,42.0
Alley Creek,2019-04-19 21:00:00,2019-04-21 12:00:00,39.0
Alley Creek,2019-04-22 13:00:00,2019-04-23 14:00:00,25.0
Alley Creek,2019-04-24 00:00:00,2019-04-24 09:00:00,9.0
Alley Creek,2019-04-26 04:00:00,2019-04-28 15:00:00,59.0
Alley Creek,2019-05-04 00:00:00,2019-05-04 08:00:00,8.0
Alley Creek,2019-05-05 01:00:00,2019-05-08 03:00:00,74.0
Alley Creek,2019-05-12 02:00:00,2019-05-15 14:00:00,84.0
