start_dt,matched,dist,reason,duration,duration_hours,wb_active_at_filing
2021-01-01 00:00:00,True,0 days 16:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2021-01-02 00:00:00,True,0 days 08:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2021-01-03 00:00:00,True,0 days 10:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2021-01-16 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2021-01-17 00:00:00,False,1 days 04:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,20.0
2021-02-02 00:00:00,False,1 days 04:00:00,Weather Conditions - Rain conditions,46 Hours - Ongoing,46.0,27.0
2021-02-06 00:00:00,True,0 days 21:00:00,Weather Conditions - Snow condition,2 Hours - Ongoing,2.0,
2021-02-07 00:00:00,True,0 days 10:00:00,Weather Conditions - Snow condition,2 Hours - Ongoing,2.0,
2021-02-16 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain conditions,49 Hours - Ongoing,49.0,
2021-02-23 00:00:00,True,0 days 13:00:00,Weather Conditions - Rain conditions,43 Hours - Ongoing,43.0,
2021-02-27 00:00:00,True,0 days 05:00:00,Weather Conditions - Rain condition,2hrs Hours - Ongoing,2.0,
2021-02-28 00:00:00,True,0 days 14:00:00,Weather Conditions - Rain conditions,2hrs Hours - Ongoing,2.0,
2021-03-01 00:00:00,True,0 days 10:00:00,Weather Conditions - Rain condition,36 Hours - Ongoing,36.0,
2021-03-18 00:00:00,True,0 days 11:00:00,Weather Conditions - Rain conditions,23 Hours - Ongoing,23.0,
2021-03-19 00:00:00,True,0 days 13:00:00,Weather Conditions - Rain conditions,46 Hours - Ongoing,46.0,
2021-03-25 00:00:00,True,0 days 08:00:00,Weather Conditions - Rain conditions,63 Hours - Ongoing,63.0,
2021-03-28 00:00:00,True,0 days 09:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2021-03-29 00:00:00,True,0 days 15:00:00,Weather Conditions - Rain conditions,37 Hours - Ongoing,37.0,
2021-04-01 00:00:00,True,0 days 08:00:00,Weather Conditions - Rain conditions,35 Hours - Ongoing,35.0,
2021-04-10 00:00:00,False,1 days 08:00:00,Weather Conditions - RAIN CONDITION,2 Hours - Ongoing,2.0,0.0
2021-04-11 00:00:00,True,0 days 08:00:00,Weather Conditions - Rain conditions,2 hours Hours - Ongoing,2.0,
2021-04-12 00:00:00,True,0 days 12:00:00,Weather Conditions - Rain conditions,38 Hours - Ongoing,38.0,
2021-04-13 00:00:00,True,0 days 12:00:00,Weather Conditions - Rain conditions,40 Hours - Ongoing,40.0,
2021-04-16 00:00:00,True,0 days 13:00:00,Weather Conditions - Rain conditions,50 Hours - Ongoing,50.0,
2021-04-17 00:00:00,False,1 days 13:00:00,Weather Conditions - Rain conditions,2 hours Hours - Ongoing,2.0,8.0
2021-04-22 00:00:00,True,0 days 09:00:00,Weather Conditions - Rain conditions,13 Hours - Ongoing,13.0,
2021-05-05 00:00:00,True,0 days 05:00:00,Weather Conditions - Rain conditions,20 Hours - Ongoing,20.0,
2021-05-05 03:07:00,True,0 days 01:53:00,Weather Conditions,20,20.0,
2021-05-06 00:00:00,True,0 days 19:00:00,Weather Conditions - Rain conditions,23 Hours - Ongoing,23.0,
2021-05-06 03:07:00,True,0 days 22:07:00,Weather Conditions,23,23.0,
2021-05-10 00:00:00,True,0 days 08:00:00,Weather Conditions - Rain conditions,37 Hours - Ongoing,37.0,
2021-05-10 03:08:00,True,0 days 11:08:00,Weather Conditions,37,37.0,
2021-05-27 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain conditions,23 Hours - Ongoing,23.0,
2021-05-27 03:07:00,True,0 days 07:07:00,Weather Conditions,23,23.0,
2021-05-29 00:00:00,True,0 days 08:00:00,Weather Conditions - Rain coniditon,2 Hours - Ongoing,2.0,
2021-05-29 09:00:00,True,0 days 17:00:00,Weather Conditions,2,2.0,
2021-05-30 00:00:00,True,0 days 06:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2021-05-30 03:00:00,True,0 days 03:00:00,Weather Conditions,2,2.0,
2021-05-31 00:00:00,True,0 days 18:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2021-05-31 03:00:00,True,0 days 21:00:00,Weather Conditions,2,2.0,
2021-06-03 00:00:00,True,0 days 09:00:00,Weather Conditions - Rain conditions,26 Hours - Ongoing,26.0,
2021-06-04 00:00:00,True,0 days 15:00:00,Weather Conditions - Rain conditions,22 Hours - Ongoing,22.0,
2021-06-05 00:00:00,True,0 days 09:00:00,Weather Conditions - Rain conditions,2 hours Hours - Ongoing,2.0,
2021-06-09 00:00:00,True,0 days 07:00:00,Weather Conditions - Rain conditions,32 Hours - Ongoing,32.0,
2021-06-15 00:00:00,True,0 days 17:00:00,Weather Conditions - Rain conditions,16 Hours - Ongoing,16.0,
2021-06-19 00:00:00,True,0 days 03:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2021-06-23 00:00:00,True,0 days 10:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2021-07-03 00:00:00,True,0 days 12:00:00,Weather Conditions - RAIN CONDITION,2 Hours - Ongoing,2.0,
2021-07-04 00:00:00,False,1 days 12:00:00,Weather Conditions - Rain condition,2hours Hours - Ongoing,2.0,8.0
2021-07-07 00:00:00,True,0 days 05:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2021-07-08 00:00:00,True,0 days 16:00:00,Weather Conditions - Rain Condition,3 Hours - Ongoing,3.0,
2021-07-09 00:00:00,True,0 days 08:00:00,Weather Conditions - Rain conditions,76 Hours - Ongoing,76.0,
2021-07-10 00:00:00,True,0 days 01:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2021-07-11 00:00:00,True,0 days 23:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2021-07-12 00:00:00,True,0 days 01:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2021-07-18 00:00:00,True,0 days 09:00:00,Weather Conditions - Rain condition,2 Hours Hours - Ongoing,2.0,
2021-07-22 00:00:00,True,0 days 11:00:00,Weather Conditions - Rain condition.,2 Hours - Ongoing,2.0,
2021-07-25 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain conditions,2 Hours - Ongoing,2.0,
2021-07-26 00:00:00,True,0 days 02:00:00,Weather Conditions - Rain condition.,2 Hours - Ongoing,2.0,
2021-07-28 00:00:00,True,0 days 01:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2021-07-30 00:00:00,True,0 days 09:00:00,Weather Conditions - Rain conditions,21 Hours - Ongoing,21.0,
2021-08-08 00:00:00,True,0 days 03:00:00,Weather Conditions - Rain condition,2hours Hours - Ongoing,2.0,
2021-08-09 00:00:00,True,0 days 06:00:00,Weather Conditions - Rain condition.,2 Hours - Ongoing,2.0,
2021-08-10 00:00:00,True,0 days 19:00:00,Weather Conditions - Rain conditions,7 Hours - Ongoing,7.0,
2021-08-11 00:00:00,True,0 days 05:00:00,Weather Conditions - Rain Conditions.,2 Hours - Ongoing,2.0,
2021-08-12 00:00:00,True,0 days 03:00:00,Weather Conditions - Rainfall Conditions.,2 Hours - Ongoing,2.0,
2021-08-19 00:00:00,True,0 days 02:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2021-08-20 00:00:00,True,0 days 22:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2021-08-22 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain conditions,2 Hours - Ongoing,2.0,
2021-08-23 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2021-08-24 00:00:00,True,0 days 20:00:00,Weather Conditions - Rain conditions,200 Hours - Ongoing,200.0,
2021-08-28 00:00:00,True,0 days 08:00:00,Weather Conditions - Rain,2 Hours - Ongoing,2.0,
2021-08-29 00:00:00,False,1 days 08:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,10.0
2021-09-01 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2021-09-02 00:00:00,True,0 days 20:00:00,Weather Conditions - Rain Condition.,2 Hours - Ongoing,2.0,
2021-09-06 00:00:00,False,3 days 02:00:00,Weather Conditions - Rain condition,2 Hrs Hours - Ongoing,2.0,11.0
2021-09-09 00:00:00,True,0 days 02:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2021-09-14 00:00:00,True,0 days 02:00:00,Weather Conditions - Rain Condition.,2 Hours - Ongoing,2.0,
2021-09-24 00:00:00,True,0 days 06:00:00,Weather Conditions - Rain Condition.,2 Hours - Ongoing,2.0,
2021-10-10 00:00:00,True,0 days 06:00:00,Weather Conditions - Rain condition,2hrs Hours - Ongoing,2.0,
2021-10-11 00:00:00,True,0 days 18:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2021-10-17 00:00:00,True,0 days 06:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2021-10-26 00:00:00,True,0 days 03:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2021-10-27 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain Condition.,2 Hours - Ongoing,2.0,
2021-10-30 00:00:00,True,0 days 05:00:00,Weather Conditions - Rain condition,2 Hours Hours - Ongoing,2.0,
2021-10-31 00:00:00,True,0 days 02:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2021-11-13 00:00:00,True,0 days 15:00:00,Weather Conditions - Rain conditions,2 Hours - Ongoing,2.0,
2021-11-14 00:00:00,True,0 days 09:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2021-12-07 00:00:00,True,0 days 22:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2022-02-04 00:00:00,True,0 days 21:00:00,Weather Conditions - Rain Conditions,2 Hours - Ongoing,2.0,
2022-02-05 00:00:00,False,1 days 21:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,27.0
2022-02-07 00:00:00,True,0 days 09:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-02-19 00:00:00,False,1 days 02:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,9.0
2022-02-23 00:00:00,True,0 days 09:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2022-02-25 00:00:00,True,0 days 01:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2022-02-26 00:00:00,True,0 days 23:00:00,Weather Conditions - Rain condition,2 hrs Hours - Ongoing,2.0,
2022-02-27 00:00:00,False,1 days 23:00:00,Weather Conditions - Rain condition,2 hrs Hours - Ongoing,2.0,4.0
2022-03-08 00:00:00,True,0 days 06:00:00,Weather Conditions - Rain Condition.,2 Hours - Ongoing,2.0,
2022-03-13 00:00:00,True,0 days 19:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-03-20 00:00:00,True,0 days 02:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2022-03-24 00:00:00,True,0 days 03:00:00,Weather Conditions - Rain Condition.,2 Hours - Ongoing,2.0,
2022-03-25 00:00:00,True,0 days 02:00:00,Weather Conditions - Rain Conditions.,2 Hours - Ongoing,2.0,
2022-03-26 00:00:00,True,0 days 12:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2022-03-27 00:00:00,True,0 days 12:00:00,Weather Conditions - Rain condition,2 Hours Hours - Ongoing,2.0,
2022-04-01 00:00:00,True,0 days 02:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2022-04-02 00:00:00,False,1 days 02:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,8.0
