waterbody,gauge,threshold_in,episodes_per_yr,adv_hours_per_yr,pct_time,median_dur_hr
Coney Island Creek,CI,0.05,41.9,3475,39.6,73
"Hutchinson River, Lower",HP,0.05,49.8,3120,35.6,52
"Bronx River, Lower",HP,0.05,50.7,3070,35.0,54
Flushing Creek,TI,0.05,47.8,2961,33.8,50
"Newtown Creek, Upper",NC,0.23,40.6,2657,30.3,56
"Fresh Kills, Upper",PR,0.15,47.8,2164,24.7,36
Alley Creek,TI,0.05,54.7,2162,24.7,33
Bergen Basin,JA,0.05,55.0,1977,22.6,30
Fresh Creek,26,0.05,57.1,1920,21.9,30
Flushing Bay,BB,0.19,45.9,1882,21.5,35
Thurston Basin,JA,0.05,56.0,1880,21.4,27
"Newtown Creek, Lower",NC,0.3,39.1,1794,20.5,39
"Arthur Kill, Upper",OB,0.1,57.3,1617,18.4,23
Westchester Creek,HP,0.19,49.4,1535,17.5,24
Gravesend Bay,OH,0.1,54.6,1521,17.3,23
"Gowanus Canal, Outer",RH,0.46,30.5,1501,17.1,42
Hendrix Creek,26,0.09,56.7,1486,17.0,22
"Fresh Kills, Lower",PR,0.16,51.8,1422,16.2,20
"Gowanus Canal, Inner",RH,0.23,46.3,1242,14.2,21
Erie Basin,RH,0.27,44.0,1172,13.4,21
Harlem River,WI,0.5,29.4,1030,11.8,31
Sheepshead Bay,CI,0.18,47.6,998,11.4,17
Bowery Bay,BB,0.29,41.2,987,11.3,20
Newark Bay,PR,0.39,33.8,948,10.8,22
East River (near Steinway Creek),BB,0.54,26.0,886,10.1,31
Upper New York Bay,OH,0.34,35.4,868,9.9,21
Shellbank Basin,JA,0.34,36.1,871,9.9,20
Kill Van Kull,PR,0.44,31.3,863,9.8,22
Paerdegat Basin,CI,0.38,31.8,796,9.1,20
Hudson River (Manhattan),NR,0.41,33.7,792,9.0,20
Gerritsen Creek,RK,0.4,30.7,760,8.7,19
Little Neck Bay,TI,0.46,30.6,739,8.4,20
Spring Creek,26,0.64,22.5,724,8.3,29
"East River, Lower",NC,0.8,22.2,623,7.1,26
East River (RFK to Whitestone),TI,0.61,24.4,588,6.7,22
"Arthur Kill, Lower",OB,0.7,20.5,548,6.2,23
Hudson River (Bronx),WI,0.62,25.4,541,6.2,19
Jamaica Bay (Queens),JA,0.74,18.4,430,4.9,21
Powell Cove,TI,0.9,15.8,394,4.5,23
East River (near Throgs Neck),TI,1.0,12.8,337,3.8,24
Lower New York Bay,OB,1.3,7.1,196,2.2,25
Eastchester Bay,HP,1.53,5.7,162,1.8,23
Jamaica Bay (Brooklyn),26,1.46,5.1,158,1.8,27
Mill Basin,CI,1.34,4.9,150,1.7,24
Western Long Island Sound,HP,2.0,2.6,64,0.7,17
