id,name,borough,lat,lon
26W,26th Ward,Brooklyn,40.6396,-73.877
BB,Bowery Bay,Queens,40.7789,-73.8919
CI,Coney Island,Brooklyn,40.5905,-73.9295
HP,Hunts Point,Bronx,40.7969,-73.8779
JA,Jamaica,Queens,40.6602,-73.783
NC,Newtown Creek,Brooklyn,40.736,-73.942
NR,North River,Manhattan,40.8232,-73.9575
OB,Oakwood Beach,Staten Island,40.5588,-74.118
OH,Owls Head,Brooklyn,40.6396,-74.0361
PR,Port Richmond,Staten Island,40.6389,-74.1298
RH,Red Hook,Brooklyn,40.7,-73.976
RK,Rockaway,Queens,40.5915,-73.793
TI,Tallman Island,Queens,40.793,-73.833
WI,Wards Island,Manhattan,40.793,-73.923
